"RefDes","Name","Value","Quantity"
"BT1","1048","","1"
"C1","CAP_POLG","220uf","1"
"C2","CAP_POLC","10uf","1"
"C11","CAP_0805","1uF","2"
"C12","CAP_0805","1uF","2"
"C13","0603","0.1uF","2"
"C14","0603","0.1uF","2"
"C15","0603","0.1uF","2"
"C16","1206","10uF","2"
"J1","Screw Terminal 10P","","1"
"J2","HDR-1x6","Prog","1"
"JP1","Power Pad","GND","1"
"JP2","Power Pad","+5V","1"
"LED1","LEDCHIP-LED0805","Blue","1"
"LED2","LEDCHIP-LED0805","Yellow","2"
"LED3","LEDCHIP-LED0805","Green","2"
"LED4","LEDCHIP-LED0805","Red","2"
"LED5","LEDCHIP-LED0805","White","1"
"Q11","IRF7413","","2"
"R1","RES_1206","3.3k","1"
"R2","RES_1206","3.3k","1"
"R3","RES_1206","10K","1"
"R4","RES_1206","10K","1"
"R5","RES_1206","470","1"
"R6","RES_1206","470","1"
"R11","RES_1206","10k","2"
"R12","RES_1206","4k","2"
"R13","RES_1206","2k","2"
"R14","RES_1206","12k","2"
"R15","RES_1206","4k","2"
"R16","RES_1206","10k","2"
"R17","RES_1206","15k","2"
"R18","RES_1206","470","2"
"R19","RES_1206","470","2"
"R20","RES_1206","10k","2"
"R21","RES_1206","15k","2"
"R22","RES_1206","470","2"
"R23","RES_1206","2k","2"
"R24","RES700","1 ohm","2"
"R25","RES700","1 ohm","2"
"R26","RES_1206","150","2"
"S1","SWITCH-MOMENTARY-2-SMD-1101NE","Reset","1"
"S2","SWITCH-MOMENTARY-2-SMD-1101NE","Flash","1"
"U1","ESP32-WROOM","ESP32-WROOM","1"
"U2","LT1117CST-3.3","","1"
"U10","FS8205S","","2"
"U11","MCP9808","","2"
"U12","TP4056","","2"
